material_id,raw_description,quantity,unit_price
BPCL-00019,COUPLING 2IN CS,70,5657.07
BPCL-00061,GATE VALVE 2IN CS CL150,26,120822.31
BPCL-00044,GASKET SW 3IN SS316,214,1193.15
BPCL-00048,GASKET SW 3IN SS316,131,1848.87
BPCL-00077,GATE VALVE 2IN CS CL150,61,14631.75
BPCL-00112,HEX NUT M16 CS GR8,36,3669.64
BPCL-00056,check valve 4in cs cl150,1,125948.64
BPCL-00064,TEE 6IN SS316,214,4607.29
BPCL-00086,PIPE 4IN SS316 SCH80,511,2732.71
BPCL-00109,BALL VALVE 2IN SS316 CL150,330,1784.15
BPCL-00035,REDUCER 4IN CS,177,1223.33
BPCL-00094,HEX NUT M16 CS GR8,104,401.37
BPCL-00008,FLANGE BLIND 8IN CS CL300,78,40914.16
BPCL-00025,PIPE 2IN CS SCH40,106,928.04
BPCL-00096,ELBOW 4IN SS316,12,4348.27
BPCL-00084,Check Valve 4In Cs Cl150,18,85596.49
BPCL-00099,Hex Bolt 3/4In Cs Grb7,377,337.59
BPCL-00039,tee 3in cs,15,1793.91
BPCL-00071,TEE 6IN SS316,67,1875.73
BPCL-00146,CABLE TRAY PERFORATED 300MM GI,469,16770.23
BPCL-00133,FIRE EXTINGUISHER CO2 5KG,98,18016.42
BPCL-00116,LADDER FIBERGLASS 12FT,386,5225.5
BPCL-00037,TEE 3IN CS,296,3032.37
BPCL-00076,COUPLING 2IN CS,86,5794.4
BPCL-00149,NITRILE GLOVES SIZE L BOX OF 100,363,3367.35
BPCL-00042,GATE VALVE 4IN CS CL300,46,70376.86
BPCL-00125,GREASE NLGI-2 180KG DRUM,215,19708.08
BPCL-00078,reducer 6in ss304,261,1003.87
BPCL-00041,GLOBE VALVE 3IN CS CL300,23,35647.95
BPCL-00124,LADDER FIBERGLASS 12FT,120,17375.94
BPCL-00102,ELBOW 4IN SS316,418,4801.75
BPCL-00114,GASKET SW 8IN GRAPHITE,303,17858.8
BPCL-00128,CABLE TRAY PERFORATED 300MM GI,40,5410.11
BPCL-00147,CABLE TRAY PERFORATED 300MM GI,122,7693.61
BPCL-00055,ELBOW 2IN CS,186,911.05
BPCL-00057,HEX NUT M16 CS GR8,616,435.6
BPCL-00088,FLANGE WN 4IN SS316 CL300,51,25353.59
BPCL-00132,FIRE HOSE REEL 30MTR,442,19688.82
BPCL-00108,ELBOW 4IN SS316,432,5898.3
BPCL-00015,CENTRIFUGAL PUMP 75M3/HR 40M SS304,1,276224.18
BPCL-00070,GASKET SW 6IN SS316,165,116.06
BPCL-00083,FLANGE BLIND 6IN CS CL150,16,19508.57
BPCL-00080,GASKET SW 6IN SS316,215,1512.42
BPCL-00115,ELBOW 4IN SS316,11,12513.99
BPCL-00047,GASKET SW 8IN GRAPHITE,137,1867.63
BPCL-00014,BALL VALVE 1IN SS316 CL150,63,81887.6
BPCL-00069,ELBOW 4IN SS316,202,2542.0
BPCL-00007,HEX NUT M16 CS GR8,1238,413.44
BPCL-00142,NITRILE GLOVES SIZE L BOX OF 100,134,18005.37
BPCL-00023,hex nut m16 cs gr8,1304,269.06
BPCL-00140,GREASE NLGI-2 180KG DRUM,362,4168.1
BPCL-00003,CENTRIFUGAL PUMP 75M3/HR 40M SS304,4,383504.29
BPCL-00126,V-BELT A-SECTION A52,209,16007.11
BPCL-00091,REDUCER 6IN SS304,292,4735.97
BPCL-00127,GREASE NLGI-2 180KG DRUM,209,9721.33
BPCL-00005,PIPE 4IN SS316 SCH80,238,4174.12
BPCL-00138,CABLE TRAY PERFORATED 300MM GI,153,11105.85
BPCL-00040,GATE VALVE 2IN CS CL150,38,143943.07
BPCL-00131,WIRE ROPE 12MM GALVANIZED,494,12918.83
BPCL-00082,BALL VALVE 1IN SS316 CL150,45,30221.78
BPCL-00018,PIPE 4IN SS316 SCH80,956,4551.07
BPCL-00098,FLANGE BLIND 3IN SS304 CL150,87,13440.54
BPCL-00092,FLANGE BLIND 8IN CS CL300,83,14342.79
BPCL-00024,HEX BOLT M20 SS304 GRB8,206,288.71
BPCL-00067,STUD BOLT M24 CS GRB7,1252,228.96
BPCL-00002,BALL VALVE 2IN SS316 CL150,1,58125.83
BPCL-00045,PIPE 3IN CS SCH40,632,3134.98
BPCL-00134,WIRE ROPE 12MM GALVANIZED,75,5482.53
BPCL-00011,BALL VALVE 2IN SS316 CL150,40,60081.88
BPCL-00079,CHECK VALVE 2IN SS304 CL150,94,47870.67
BPCL-00032,HEX NUT M16 CS GR8,997,231.22
BPCL-00072,GATE VALVE 4IN CS CL300,26,43082.9
BPCL-00122,LADDER FIBERGLASS 12FT,342,18971.64
BPCL-00141,LADDER FIBERGLASS 12FT,27,2843.37
BPCL-00093,HEX BOLT 3/4IN CS GRB7,1453,323.78
BPCL-00121,Paint Epoxy Zinc Rich 20Ltr,355,17228.31
BPCL-00110,BALL VALVE 1IN SS316 CL150,151,1755.9
BPCL-00118,WIRE ROPE 12MM GALVANIZED,261,5397.87
BPCL-00053,ORING SEAL 2IN SS316,2,7303.35
BPCL-00075,BALL VALVE 1IN SS316 CL150,49,144238.41
BPCL-00085,BALL VALVE 2IN SS316 CL150,47,45518.61
BPCL-00123,CABLE TRAY PERFORATED 300MM GI,81,15606.19
BPCL-00087,GASKET SW 6IN SS316,118,909.49
BPCL-00145,CABLE TRAY PERFORATED 300MM GI,173,3548.66
BPCL-00043,FLANGE WN 4IN SS316 CL300,90,31132.56
BPCL-00117,Ball Bearing 6205 2Rs,119,7293.03
