material_id,raw_description,quantity,unit_price,normalized_description
BPCL-00019,COUPLING 2IN CS,70,5657.07,Coupling 2 Inch Carbon Steel
BPCL-00061,GATE VALVE 2IN CS CL150,26,120822.31,Gate Valve 2 Inch Carbon Steel Class 150
BPCL-00044,GASKET SW 3IN SS316,214,1193.15,Gasket Spiral Wound 3 Inch Stainless Steel 316
BPCL-00048,GASKET SW 3IN SS316,131,1848.87,Gasket Spiral Wound 3 Inch Stainless Steel 316
BPCL-00077,GATE VALVE 2IN CS CL150,61,14631.75,Gate Valve 2 Inch Carbon Steel Class 150
BPCL-00112,HEX NUT M16 CS GR8,36,3669.64,Hex Nut M16 Carbon Steel Grade 8
BPCL-00056,check valve 4in cs cl150,1,125948.64,Check Valve 4 Inch Carbon Steel Class 150
BPCL-00064,TEE 6IN SS316,214,4607.29,Tee 6 Inch Stainless Steel 316
BPCL-00086,PIPE 4IN SS316 SCH80,511,2732.71,Pipe 4 Inch Stainless Steel 316 Sch80
BPCL-00109,BALL VALVE 2IN SS316 CL150,330,1784.15,Ball Valve 2 Inch Stainless Steel 316 Class 150
BPCL-00035,REDUCER 4IN CS,177,1223.33,Reducer 4 Inch Carbon Steel
BPCL-00094,HEX NUT M16 CS GR8,104,401.37,Hex Nut M16 Carbon Steel Grade 8
BPCL-00008,FLANGE BLIND 8IN CS CL300,78,40914.16,Flange Blind 8 Inch Carbon Steel Class 300
BPCL-00025,PIPE 2IN CS SCH40,106,928.04,Pipe 2 Inch Carbon Steel Sch40
BPCL-00096,ELBOW 4IN SS316,12,4348.27,Elbow 4 Inch Stainless Steel 316
BPCL-00084,Check Valve 4In Cs Cl150,18,85596.49,Check Valve 4 Inch Carbon Steel Class 150
BPCL-00099,Hex Bolt 3/4In Cs Grb7,377,337.59,Hex Bolt 3/4 Inch Carbon Steel Grade B7
BPCL-00039,tee 3in cs,15,1793.91,Tee 3 Inch Carbon Steel
BPCL-00071,TEE 6IN SS316,67,1875.73,Tee 6 Inch Stainless Steel 316
BPCL-00146,CABLE TRAY PERFORATED 300MM GI,469,16770.23,Cable Tray Perforated 300Mm Gi
BPCL-00133,FIRE EXTINGUISHER CO2 5KG,98,18016.42,Fire Extinguisher Co2 5Kg
BPCL-00116,LADDER FIBERGLASS 12FT,386,5225.5,Ladder Fiberglass 12 Ft
BPCL-00037,TEE 3IN CS,296,3032.37,Tee 3 Inch Carbon Steel
BPCL-00076,COUPLING 2IN CS,86,5794.4,Coupling 2 Inch Carbon Steel
BPCL-00149,NITRILE GLOVES SIZE L BOX OF 100,363,3367.35,Nitrile Gloves Size L Box Of 100
BPCL-00042,GATE VALVE 4IN CS CL300,46,70376.86,Gate Valve 4 Inch Carbon Steel Class 300
BPCL-00125,GREASE NLGI-2 180KG DRUM,215,19708.08,Grease Nlgi 2 180Kg Drum
BPCL-00078,reducer 6in ss304,261,1003.87,Reducer 6 Inch Stainless Steel 304
BPCL-00041,GLOBE VALVE 3IN CS CL300,23,35647.95,Globe Valve 3 Inch Carbon Steel Class 300
BPCL-00124,LADDER FIBERGLASS 12FT,120,17375.94,Ladder Fiberglass 12 Ft
BPCL-00102,ELBOW 4IN SS316,418,4801.75,Elbow 4 Inch Stainless Steel 316
BPCL-00114,GASKET SW 8IN GRAPHITE,303,17858.8,Gasket Spiral Wound 8 Inch Graphite
