material_id,raw_description,quantity,unit_price
HPCL-00104,"Check Vlv, 2"", Ss-304",146,12994.02
HPCL-00118,SAFETY GOGGLES CLEAR LENS,311,3508.8
HPCL-00010,"Pipe, 2"", CS, SCH40",325,2063.69
HPCL-00037,"Pipe, 6"", CS, SCH40",726,4779.44
HPCL-00085,"Ball Vlv, 4"", Cs, Cl 150",8,130508.56
HPCL-00004,"BALL VLV ,6"" ,SS-304 ,CL 300",3,94878.6
HPCL-00069,"Flg, Weld Neck, 2"", CS, Cl 150",25,35128.57
HPCL-00017,"ELBOW 90DEG ,4"" ,SS-316",86,473.38
HPCL-00121,CABLE 3C X 2.5SQMM ARMOURED,408,13954.38
HPCL-00136,TARPAULIN HDPE 6X9MTR,139,11645.7
HPCL-00142,CABLE 3C X 2.5SQMM ARMOURED,84,13707.2
HPCL-00062,"Mech Seal, 3"", SS-316",54,7844.25
HPCL-00103,"Check Vlv, 4"", CS",67,13598.09
HPCL-00027,"Gskt, Spiral Wound, 2"", SS-316",181,1666.87
HPCL-00052,"Pipe, 2"", CS, SCH40",859,3118.82
HPCL-00011,"Stud Bolt, M24, CS, Gr B7",781,293.91
HPCL-00135,TARPAULIN HDPE 6X9MTR,38,15367.2
HPCL-00023,"Stud Bolt, 1IN, SS-316, Gr B8M",195,389.91
HPCL-00074,"Ball Vlv, 3"", SS-316",92,27002.39
HPCL-00007,"Tee ,6"" ,SS-316",160,4757.02
HPCL-00019,"Ball Vlv, 6"", SS-304",66,92785.45
HPCL-00092,"Ball Vlv, 4"", CS",7,23865.39
HPCL-00102,"Flg, Blind, 8"", CS, Cl 300",25,6891.39
HPCL-00066,"Pipe, 8"", CS, SCH80",104,814.62
HPCL-00080,"Ball Vlv, 1"", SS-316",73,104178.43
HPCL-00068,"PIPE, 6"", CS, SCH40",369,3276.2
HPCL-00032,"Ball Vlv, 2"", SS-316",3,149958.22
HPCL-00064,"Flg, Blind, 3"", SS-304, Cl 150",75,32036.64
HPCL-00072,"Hx Bolt, M16, CS, Gr 8.8",683,90.3
HPCL-00122,RESPIRATOR CARTRIDGE ORGANIC VAPOUR,322,2285.18
HPCL-00107,"CHECK VLV, 4"", CS",369,14921.52
HPCL-00031,"Reducer, 4"", Cs",201,4337.14
HPCL-00013,"Mech Seal, 3"", SS-316",192,7892.44
HPCL-00120,Earthing Strip Copper 25X3Mm,40,10514.0
HPCL-00126,GEARBOX HELICAL 10:1 RATIO,435,3459.21
HPCL-00150,SAFETY GOGGLES CLEAR LENS,459,18662.11
HPCL-00091,"Cplg, 4"", SS-316",14,7600.97
HPCL-00140,Tarpaulin Hdpe 6X9Mtr,138,10994.63
HPCL-00147,GEARBOX HELICAL 10:1 RATIO,305,7009.92
HPCL-00036,"Ball Vlv, 2"", SS-316",1,68680.53
HPCL-00137,TARPAULIN HDPE 6X9MTR,333,18643.69
HPCL-00117,EARTHING STRIP COPPER 25X3MM,350,1803.36
HPCL-00040,"Check Vlv, 4"", CS",95,8940.68
HPCL-00057,"Pump, Centrifugal, 100m3/hr, 50m, SS-316",3,329939.02
HPCL-00070,"Pipe, 2"", CS, SCH40",204,4504.58
HPCL-00143,SIGHT GLASS LEVEL INDICATOR 12IN,101,5130.08
HPCL-00108,"Stud Bolt, M24, CS, Gr B7",42,11310.95
HPCL-00144,EARTHING STRIP COPPER 25X3MM,265,104.08
HPCL-00012,"pipe, 6"", cs, sch40",749,1929.66
HPCL-00149,WELDING ROD E7018 3.2MM,334,19302.29
HPCL-00063,"Hx Bolt, 3/4IN, CS, Gr B7",175,176.97
HPCL-00034,"Flg, Blind, 8"", CS, Cl 300",74,47293.52
HPCL-00079,"Ball Vlv, 2"", SS-316",90,21054.76
HPCL-00055,"Ball Vlv, 2"", SS-316",88,78070.44
HPCL-00099,"Pipe, 6"", CS, SCH40",240,1745.98
HPCL-00046,"HX BOLT, M16, CS, GR 8.8",450,396.95
HPCL-00005,"Gate Vlv, 4"", CS, Cl 300",57,135371.39
HPCL-00050,"Cplg ,4"" ,SS-316",64,9079.94
HPCL-00042,"Pump, Centrifugal, 100M3/Hr, 50M, Ss-316",3,274174.33
HPCL-00125,SAFETY HELMET YELLOW IS2925,94,19502.59
HPCL-00089,"Stud Bolt, 1IN, SS-316, Gr B8M",77,121.88
HPCL-00002,"Hx Nut ,M16 ,Cs ,Gr 8",1599,316.55
HPCL-00035,"PIPE, 8"", CS, SCH80",94,2013.68
HPCL-00146,WELDING ROD E7018 3.2MM,419,12141.73
HPCL-00075,"Flg, Weld Neck, 3"", CS, Cl 150",22,18033.34
HPCL-00105,"Stud Bolt, M24, CS, Gr B7",111,1784.06
HPCL-00033,"elbow 90deg, 2"", cs",57,2821.62
HPCL-00038,"Pipe, 6"", CS, SCH40",458,1194.69
HPCL-00008,"O-Ring, 4"", SS-304",123,2818.15
HPCL-00049,"Ball Vlv, 4"", CS, Cl 150",51,106203.81
HPCL-00139,TARPAULIN HDPE 6X9MTR,10,7416.15
HPCL-00020,"Flg, Blind, 3"", SS-304, Cl 150",30,5054.67
HPCL-00086,"Hx Nut ,M16 ,CS ,Gr 8",1326,375.39
HPCL-00043,"Elbow 90deg, 4"", SS-316",272,2648.8
HPCL-00053,"Ball Vlv, 4"", CS",91,60052.12
HPCL-00028,"Hx Nut, M16, CS, Gr 8",1683,419.97
HPCL-00022,"Pump, Centrifugal, 50m3/hr, 30m, CS",1,61865.14
HPCL-00084,"Gate Vlv, 4"", CS",26,11039.54
HPCL-00078,"Gskt, Spiral Wound, 8"", Graphite",38,452.35
HPCL-00060,"Gate Vlv ,2"" ,Cs ,Cl 150",17,126629.53
HPCL-00129,RESPIRATOR CARTRIDGE ORGANIC VAPOUR,173,9558.56
HPCL-00026,"flg ,weld neck ,3"" ,cs ,cl 150",86,19663.65
HPCL-00083,"Gskt, Spiral Wound, 4"", Graphite",52,1753.48
HPCL-00081,"butterfly vlv, 6"", cs",47,15659.01
HPCL-00116,EARTHING STRIP COPPER 25X3MM,331,3255.59
HPCL-00128,SAFETY GOGGLES CLEAR LENS,392,11157.42
HPCL-00096,"Gate Vlv ,2"" ,CS ,Cl 150",64,60780.25
HPCL-00058,"ball vlv ,6"" ,ss-304",29,105251.0
HPCL-00134,SAFETY HELMET YELLOW IS2925,90,2340.99
HPCL-00039,"Mech Seal, 6"", SS-316",33,5439.27
HPCL-00119,SAFETY HELMET YELLOW IS2925,387,16854.17
HPCL-00029,"Flg, Weld Neck, 4"", SS-316, Cl 300",1,2804.27
HPCL-00003,"Ball Vlv, 1"", SS-316, Cl 150",1,45585.1
HPCL-00113,"Stud Bolt, M24, CS, Gr B7",289,12135.21
HPCL-00009,"Flg, Weld Neck, 2"", CS, Cl 150",90,10217.94
HPCL-00082,"Flg, Blind, 6"", CS, Cl 150",56,31767.12
HPCL-00041,"Hx Nut ,M16 ,CS ,Gr 8",203,61.21
HPCL-00067,"Ball Vlv, 1"", SS-316, Cl 150",16,61244.47
HPCL-00110,"Reducer ,6"" ,SS - 304",320,17997.97
HPCL-00071,"Hx Bolt, M16, CS, Gr 8.8",721,260.04
HPCL-00127,RESPIRATOR CARTRIDGE ORGANIC VAPOUR,194,16426.19
HPCL-00087,"Flg, Weld Neck, 4"", SS-316, Cl 300",47,49326.59
HPCL-00115,"Pipe, 6"", CS, SCH40",112,3099.54
HPCL-00094,"Check Vlv, 2"", Ss-304",18,77728.26
HPCL-00133,INSULATION TAPE PVC BLACK 19MM,140,14738.13
HPCL-00065,"Ball Vlv, 3"", SS-316",23,13227.77
HPCL-00112,"Hx Bolt, M16, CS, Gr 8.8",454,9990.04
HPCL-00018,"CHECK VLV, 4"", CS",69,63662.58
HPCL-00077,"Reducer, 4"", CS",16,2718.68
HPCL-00109,"PIPE, 6"", CS, SCH40",6,5711.33
HPCL-00061,"gskt, spiral wound, 2"", ss-316",73,553.58
HPCL-00059,"Pipe, 6"", Cs, Sch40",193,905.95
HPCL-00111,"Gate Vlv, 4"", CS, Cl 300",440,11437.03
HPCL-00014,"Stud Bolt, M24, CS, Gr B7",978,270.37
HPCL-00141,TARPAULIN HDPE 6X9MTR,13,19799.71
HPCL-00106,"O - Ring, 4"", SS - 304",111,14749.61
HPCL-00123,CABLE 3C X 2.5SQMM ARMOURED,75,11541.17
HPCL-00114,"PIPE, 8"", CS, SCH80",277,200.31
HPCL-00054,"Reducer ,6"" ,SS - 304",253,545.91
HPCL-00051,"Hx Bolt, M16, CS, Gr 8.8",855,12.2
HPCL-00130,TARPAULIN HDPE 6X9MTR,326,15401.38
HPCL-00132,SAFETY HELMET YELLOW IS2925,225,8537.46
HPCL-00138,SIGHT GLASS LEVEL INDICATOR 12IN,161,10675.16
HPCL-00015,"Gate Vlv, 6"", SS-316",77,62858.59
HPCL-00030,"O - Ring, 4"", SS - 304",56,306.64
HPCL-00148,RESPIRATOR CARTRIDGE ORGANIC VAPOUR,444,17022.01
HPCL-00025,"Stud Bolt, 1IN, SS-316, Gr B8M",1355,191.49
HPCL-00076,"CHECK VLV, 2"", SS-304, CL 150",1,15127.97
HPCL-00097,"STUD BOLT, 1IN, SS-316, GR B8M",534,138.28
HPCL-00098,"Ball Vlv, 2"", SS-316",39,28978.01
HPCL-00073,"Stud Bolt, 1IN, SS - 316, Gr B8M",1862,115.81
HPCL-00044,"Gskt ,Spiral Wound ,4"" ,Graphite",240,1641.95
HPCL-00145,cable 3c x 2.5sqmm armoured,408,11932.99
HPCL-00006,"Pipe, 4"", SS - 316, SCH80",339,4593.22
HPCL-00024,"Ball Vlv, 6"", SS-304",49,148116.87
HPCL-00090,"O-Ring, 4"", Ss-304",131,3077.53
HPCL-00124,SIGHT GLASS LEVEL INDICATOR 12IN,134,17316.87
HPCL-00047,"Tee, 6"", SS-316",211,756.67
HPCL-00088,"Gskt ,Spiral Wound ,4"" ,Graphite",218,772.42
HPCL-00045,"Reducer ,4"" ,CS",226,2848.6
HPCL-00101,"butterfly vlv, 6"", cs",145,2439.25
HPCL-00095,"Ball Vlv ,2"" ,SS-316",99,68217.03
HPCL-00048,"Hx Bolt, 3/4IN, CS, Gr B7",1983,393.41
HPCL-00016,"Elbow 90deg ,4"" ,SS-316",50,3455.18
HPCL-00021,"Globe Vlv, 1 - 1/2"", SS - 316",5,130177.46
HPCL-00056,"Gskt ,Spiral Wound ,4"" ,Graphite",34,1825.42
HPCL-00131,TARPAULIN HDPE 6X9MTR,324,19361.48
HPCL-00093,"PIPE, 8"", CS, SCH80",928,3498.39
HPCL-00001,"Gskt, Spiral Wound, 3"", SS-316",51,197.1
HPCL-00100,"Gskt ,Spiral Wound ,3"" ,SS-316",130,223.95
