material_id,raw_description,quantity,unit_price
IOCL-00062,VLV-BALL-4IN-CS-CL150,63,17967.93
IOCL-00027,CPLG-4IN-SS316,50,4215.08
IOCL-00006,VLV-GLB-3IN-CS-CL300,3,23144.29
IOCL-00054,PUMP-CENTRF-50M3H-30M-CS,3,196332.49
IOCL-00033,FIT-RED-6IN-SS304,274,4484.65
IOCL-00120,MOTOR 3PH 415V 15KW TEFC,37,17949.45
IOCL-00138,FILTER ELEMENT 10 MICRON PLEATED,401,16992.01
IOCL-00134,Solenoid Valve 24Vdc 1/2In,161,4524.17
IOCL-00041,Vlv - Ball - 1In - Ss316,41,82319.02
IOCL-00123,MOTOR 3PH 415V 15KW TEFC,131,14532.82
IOCL-00030,VLV-BFLY-8IN-SS316,54,82913.12
IOCL-00148,MOTOR 3PH 415V 15KW TEFC,317,3945.1
IOCL-00026,vlv-chk-2in-ss304,78,7089.5
IOCL-00022,FIT-TEE-6IN-SS316,269,2860.11
IOCL-00109,fit-elb-2in-cs,308,12921.2
IOCL-00140,CABLE GLAND BRASS 20MM NPT,371,1918.81
IOCL-00075,VLV-GATE-6IN-SS316-CL150,92,121501.14
IOCL-00146,CABLE GLAND BRASS 20MM NPT,284,10077.61
IOCL-00037,FIT - TEE - 6IN - SS316,212,1694.12
IOCL-00100,GSKT-SW-8IN-GRPH,102,767.18
IOCL-00128,CONTROL VALVE POSITIONER PNEUMATIC,254,13396.32
IOCL-00131,MOTOR 3PH 415V 15KW TEFC,366,5714.22
IOCL-00105,Pipe-8In-Cs-Sch80-Wld,148,863.46
IOCL-00016,PUMP-CENTRF-50M3H-30M-CS,3,90772.9
IOCL-00057,FIT-RED-6IN-SS304,135,1976.34
IOCL-00005,SEAL-MECH-3IN-SS316,101,6956.17
IOCL-00023,PIPE-6IN-CS-SCH40-WLD,907,276.64
IOCL-00010,VLV-GATE-4IN-CS-CL300,33,148847.31
IOCL-00074,SEAL-ORING-2IN-SS316,129,7089.59
IOCL-00065,VLV-BALL-3IN-SS316,23,136319.84
IOCL-00091,CPLG - 4IN - SS316,2,3034.42
IOCL-00066,PUMP-CENTRF-75M3H-40M-SS304,3,321987.82
IOCL-00009,PIPE-2IN-CS-SCH40-SMLS,201,1219.23
IOCL-00001,fit-elb-2in-cs,275,1935.25
IOCL-00081,NUT-HX-M16-CS-GR8,367,269.37
IOCL-00051,Pipe-4In-Ss316-Sch80-Smls,789,4280.19
IOCL-00102,VLV-GATE-6IN-SS316-CL150,144,16337.82
IOCL-00071,VLV-BALL-2IN-SS316,6,45753.79
IOCL-00103,SEAL-MECH-6IN-SS316,124,16714.28
IOCL-00050,GSKT-SW-3IN-SS316,139,275.94
IOCL-00007,VLV-BALL-3IN-SS316,2,5046.51
IOCL-00019,vlv-glb-1-1/2in-ss316,7,129271.18
IOCL-00039,VLV-BFLY-6IN-CS,26,124653.15
IOCL-00098,Pipe-8In-Cs-Sch80-Wld,193,588.1
IOCL-00143,THERMOWELL SS316 6IN INSERTION,51,19578.91
IOCL-00142,LIMIT SWITCH ROTARY TYPE,38,4917.59
IOCL-00083,Vlv-Bfly-8In-Ss316-Cl150,24,41873.03
IOCL-00129,SOLENOID VALVE 24VDC 1/2IN,473,233.48
IOCL-00014,SEAL - MECH - 6IN - SS316,189,3318.92
IOCL-00080,PIPE-8IN-CS-SCH80-WLD,465,233.37
IOCL-00150,control valve positioner pneumatic,49,535.1
IOCL-00069,VLV-CHK-2IN-SS304,28,104828.17
IOCL-00133,JUNCTION BOX SS304 IP65,445,8996.06
IOCL-00104,Flg-Blind-3In-Ss304-Cl150,464,10188.57
IOCL-00084,CPLG-2IN-CS,32,9457.64
IOCL-00135,CABLE GLAND BRASS 20MM NPT,398,410.6
IOCL-00021,FLG-BLIND-6IN-CS-CL150,60,47495.39
IOCL-00013,FIT-ELB-2IN-CS,63,1527.02
IOCL-00047,FLG-WN-4IN-SS316-CL300,35,35855.76
IOCL-00008,BOLT - STUD - 1IN - SS316 - GRB8M,1487,362.39
