material_id,raw_description,quantity,unit_price
ONGC-00072,2 INCH O-RING SEAL STAINLESS STEEL 316,85,4769.05
ONGC-00035,8 inch butterfly valve stainless steel 316,53,79292.0
ONGC-00092,CHECK VALVE CARBON STEEL 4 INCH CLASS 150,99,87236.84
ONGC-00013,3 INCH BLIND FLANGE STAINLESS STEEL 304 CLASS 150,32,4450.39
ONGC-00096,2 inch gate valve carbon steel,12,85156.27
ONGC-00141,BATTERY LEAD ACID 12V 100AH,190,11688.21
ONGC-00062,6 INCH TEE STAINLESS STEEL 316,43,3840.49
ONGC-00108,2 Inch Coupling Carbon Steel,144,9885.86
ONGC-00088,GLOBE VALVE CARBON STEEL 3 INCH CLASS 300,36,131865.86
ONGC-00061,4 INCH GATE VALVE CARBON STEEL CLASS 300,90,72177.73
ONGC-00022,2 INCH COUPLING CARBON STEEL,45,5264.4
ONGC-00017,3 INCH GLOBE VALVE CARBON STEEL CLASS 300,33,111633.76
ONGC-00114,M20 HEX BOLT STAINLESS STEEL 304 GRADE B8,186,18622.04
ONGC-00045,4 INCH O-RING SEAL STAINLESS STEEL 304,118,811.96
ONGC-00118,Temperature Transmitter 4-20Ma Hart,239,14131.34
ONGC-00031,3 INCH GLOBE VALVE CARBON STEEL,86,89443.32
ONGC-00087,3 INCH TEE CARBON STEEL,79,1806.85
ONGC-00037,CENTRIFUGAL PUMP 75 M3/HR 40M HEAD STAINLESS STEEL 304,4,330300.71
ONGC-00128,CHAIN SLING 2TON 3MTR,145,17613.18
ONGC-00007,centrifugal pump 75 m3/hr 40m head stainless steel 304,1,483628.99
ONGC-00094,4 INCH SPIRAL WOUND GASKET GRAPHITE,100,537.53
ONGC-00069,M24 STUD BOLT CARBON STEEL GRADE B7,565,271.99
ONGC-00123,LEVEL TRANSMITTER RADAR TYPE,434,1501.62
ONGC-00066,2 INCH GATE VALVE CARBON STEEL CLASS 150,95,8704.99
ONGC-00033,MECHANICAL SEAL 3 INCH STAINLESS STEEL 316,55,6616.28
ONGC-00050,GATE VALVE CARBON STEEL 2 INCH,48,37488.53
ONGC-00073,M20 HEX BOLT STAINLESS STEEL 304 GRADE B8,739,289.86
ONGC-00083,2 INCH CARBON STEEL PIPE SCH40 SEAMLESS,614,3347.47
ONGC-00086,1IN STUD BOLT STAINLESS STEEL 316 GRADE B8M,1574,63.49
ONGC-00071,6 INCH GATE VALVE STAINLESS STEEL 316,92,141749.24
ONGC-00021,M20 HEX BOLT STAINLESS STEEL 304 GRADE B8,952,45.39
ONGC-00018,GATE VALVE STAINLESS STEEL 316 6 INCH CLASS 150,48,22219.96
ONGC-00130,HYDRAULIC HOSE 1IN 2WIRE BRAID,292,11858.18
ONGC-00120,LEVEL TRANSMITTER RADAR TYPE,401,16747.43
ONGC-00139,DESICCANT BREATHER 2IN NPT,361,2394.65
ONGC-00148,CHAIN SLING 2TON 3MTR,203,10577.64
ONGC-00042,6 INCH BLIND FLANGE CARBON STEEL CLASS 150,30,48507.31
ONGC-00091,4 INCH REDUCER CARBON STEEL,196,3778.01
ONGC-00137,rotameter 0-50 lpm glass tube,58,9399.78
ONGC-00077,2 INCH ELBOW 90DEG CARBON STEEL,172,1991.9
ONGC-00099,GLOBE VALVE STAINLESS STEEL 316 1-1/2 INCH,17,17262.33
ONGC-00065,3 INCH TEE CARBON STEEL,104,3117.67
ONGC-00101,3 INCH TEE CARBON STEEL,342,16537.83
ONGC-00010,3 INCH TEE CARBON STEEL,132,1415.53
ONGC-00104,6 INCH BLIND FLANGE CARBON STEEL CLASS 150,403,19172.9
ONGC-00140,DESICCANT BREATHER 2IN NPT,387,14897.02
ONGC-00057,BUTTERFLY VALVE STAINLESS STEEL 316 8 INCH,78,4130.24
ONGC-00047,CENTRIFUGAL PUMP 50 M3/HR 30M HEAD CARBON STEEL,5,363188.39
ONGC-00030,BALL VALVE STAINLESS STEEL 316 3 INCH,22,82311.41
ONGC-00125,CHAIN SLING 2TON 3MTR,165,1672.91
ONGC-00038,CHECK VALVE STAINLESS STEEL 304 2 INCH,96,126619.42
ONGC-00107,3 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,339,19014.61
ONGC-00093,3/4IN HEX BOLT CARBON STEEL GRADE B7,1027,209.25
ONGC-00084,4 INCH CHECK VALVE CARBON STEEL,90,127041.55
ONGC-00144,LEVEL TRANSMITTER RADAR TYPE,134,4510.74
ONGC-00074,4 INCH WELD NECK FLANGE STAINLESS STEEL 316 CLASS 300,33,29094.99
ONGC-00110,M16 HEX BOLT CARBON STEEL GRADE 8.8,436,12068.7
ONGC-00081,CENTRIFUGAL PUMP 75 M3/HR 40M HEAD STAINLESS STEEL 304,2,67533.41
ONGC-00015,3 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,159,323.16
ONGC-00002,CENTRIFUGAL PUMP 200 M3/HR 80M HEAD CARBON STEEL,5,473206.36
ONGC-00012,2 Inch O-Ring Seal Stainless Steel 316,105,5629.03
ONGC-00116,AIR FILTER REGULATOR LUBRICATOR UNIT,163,1164.63
ONGC-00025,2 INCH CARBON STEEL PIPE SCH40 SEAMLESS,892,443.69
ONGC-00048,6 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,126,163.48
ONGC-00020,2 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,17,1628.25
ONGC-00076,M16 HEX NUT CARBON STEEL GRADE 8,1341,411.22
ONGC-00147,SPILL KIT OIL ABSORBENT 200LTR,80,6487.59
ONGC-00052,4 Inch Ball Valve Carbon Steel Class 150,64,143320.06
ONGC-00070,3 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,251,1250.91
ONGC-00100,2 INCH BALL VALVE STAINLESS STEEL 316 CLASS 150,84,81080.47
ONGC-00041,M16 HEX BOLT CARBON STEEL GRADE 8.8,318,364.42
ONGC-00082,4 INCH CHECK VALVE CARBON STEEL,81,103085.0
ONGC-00060,3 INCH WELD NECK FLANGE CARBON STEEL CLASS 150,69,48996.02
ONGC-00008,4 INCH ELBOW 90DEG STAINLESS STEEL 316,257,469.2
ONGC-00014,2 INCH O - RING SEAL STAINLESS STEEL 316,152,5434.92
